tag,description
food,"cooking, recipes, means, or food traditions tied to Italian heritage or family life"
religion,"religios practices, church life, festivites, prayer or faith as part of daily life"
immigration,"the journey to the U.S., arrival experiences, reasons for leaving Italy, migrant experience"
community,"belonging or ties to neighboorhood, parish or enclave; feeling part of a group"
assimilation,"adapting to American customs, norms or expectations"
identity,"how the speaker describes or negotiattes being Italian, American or Italian American"
family,"relationships, roles and dynamics within the houselhold or extended family"
heritage,"traditions, customs, celebrations or practices passed down from earlier generations"
language,"use of Italian, dialects, bilingualism or language across generations"
generational differences,"constrasts in values, behavior or experiences between parents, childrens and grandchildren"
work,"jobs, trades or labor experiences, including immigrant specific work"
memory,"recollections, how the past is remembered, forgotten or passed down as story"
gender roles,expectatins or divisions of labor and actions based on being a man or a woman in the family or community
